author_id,Author_Name,Profile_Link
115,Md. Mohidur Rahman (M.A),https://www.wafilife.com/cat/books/author/md-mohidur-rahman-m-a
116,Md. Mokhlesur Rahman,https://www.wafilife.com/cat/books/author/md-mokhlesur-rahman
117,Md. Monir Hossain,https://www.wafilife.com/cat/books/author/md-monir-hossain
118,Md. Mosharraf Hossain,https://www.wafilife.com/cat/books/author/md-mosharraf-hossain
119,Md. Mostafizur Rahman,https://www.wafilife.com/cat/books/author/md-mostafizur-rahman
120,Md. Mujibur Rahman (BAU),https://www.wafilife.com/cat/books/author/md-mujibur-rahman-bau
121,Md. Muklesuzzaman Khan,https://www.wafilife.com/cat/books/author/md-muklesuzzaman-khan
122,Md. Najmul Hasan,https://www.wafilife.com/cat/books/author/md-najmul-hasan
123,Md. Neyamul Islam,https://www.wafilife.com/cat/books/author/md-neyamul-islam
124,Md. Nurul Islam,https://www.wafilife.com/cat/books/author/md-nurul-islam
125,Md. Rafiul Islam,https://www.wafilife.com/cat/books/author/md-rafiul-islam
126,Md. Rajibul Islam,https://www.wafilife.com/cat/books/author/md-rajibul-islam
127,Md. Rezaul Karim,https://www.wafilife.com/cat/books/author/md-rezaul-karim
128,Md. Rofiuddin,https://www.wafilife.com/cat/books/author/md-rofiuddin
129,Md. Saadat Hossain,https://www.wafilife.com/cat/books/author/md-saadat-hossain
130,Md. Safiur Rahman,https://www.wafilife.com/cat/books/author/md-safiur-rahman
131,Md. Sahidullha Babul,https://www.wafilife.com/cat/books/author/md-sahidullha-babul
132,Md. Sanower Hossain Shamim,https://www.wafilife.com/cat/books/author/md-sanower-hossain-shamim
133,Md. Sohal Rana(Text),https://www.wafilife.com/cat/books/author/md-sohal-ranatext
134,Md. Suhel Rana,https://www.wafilife.com/cat/books/author/md-suhel-rana
135,Md. Tazul Islam,https://www.wafilife.com/cat/books/author/md-tazul-islam
136,Md. Tofayel Hossain (BCS),https://www.wafilife.com/cat/books/author/md-tofayel-hossain-bcs
137,Md. Yousuf Nizam,https://www.wafilife.com/cat/books/author/md-yousuf-nizam
138,Md. Zahedul Alam,https://www.wafilife.com/cat/books/author/md-zahedul-alam
139,Md: Faruquzzaman Akan,https://www.wafilife.com/cat/books/author/md-faruquzzaman-akan
140,Michael Tofte,https://www.wafilife.com/cat/books/author/michael-tofte
141,Mijan Parvez J.,https://www.wafilife.com/cat/books/author/mijan-parvez-j
142,Mirza Azizul Islam,https://www.wafilife.com/cat/books/author/mirza-azizul-islam
143,Moazzam Zaman,https://www.wafilife.com/cat/books/author/moazzam-zaman
144,Mohaiminul Islam Mufti,https://www.wafilife.com/cat/books/author/mohaiminul-islam-mufti
145,Mohamed Edi Al-Araimi,https://www.wafilife.com/cat/books/author/mohamed-edi-al-araimi
146,Mohammad Abdul Latif,https://www.wafilife.com/cat/books/author/mohammad-abdul-latif
147,Mohammad Abdul Maleque,https://www.wafilife.com/cat/books/author/mohammad-abdul-maleque
148,Mohammad Abdul Wahed Tomal,https://www.wafilife.com/cat/books/author/mohammad-abdul-wahed-tomal
149,Mohammad Abrarul Hoque,https://www.wafilife.com/cat/books/author/mohammad-abrarul-hoque
150,Mohammad Akbar Hosain,https://www.wafilife.com/cat/books/author/mohammad-akbar-hosain
151,Mohammad Alamgheer,https://www.wafilife.com/cat/books/author/mohammad-alamgheer
152,Mohammad Ameeruz Zaman,https://www.wafilife.com/cat/books/author/mohammad-ameeruz-zaman
153,Mohammad Ataur Rahman,https://www.wafilife.com/cat/books/author/mohammad-ataur-rahman
154,Mohammad Maruf Khan,https://www.wafilife.com/cat/books/author/mohammad-maruf-khan
155,Mohammad Mohabbat Khan,https://www.wafilife.com/cat/books/author/mohammad-mohabbat-khan
156,Mohammad Mohiuddin Mahi,https://www.wafilife.com/cat/books/author/mohammad-mohiuddin-mahi
157,Mohammad Musa Khan,https://www.wafilife.com/cat/books/author/mohammad-musa-khan
158,Mohammad Rafi,https://www.wafilife.com/cat/books/author/mohammad-rafi
159,Mohammad Rafiqul Islam,https://www.wafilife.com/cat/books/author/mohammad-rafiqul-islam
160,"Mohammad Rahman, Ph.D",https://www.wafilife.com/cat/books/author/mohammad-rahman-ph-d
161,Mohammad Sajjadur Rahman,https://www.wafilife.com/cat/books/author/mohammad-sajjadur-rahman
162,Mohammad Taher Hossain Salim,https://www.wafilife.com/cat/books/author/mohammad-taher-hossain-salim
